id,image,url,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
BW_11,https://www.imdb.com/title/tt6129302/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bhavesh Joshi Superhero,2018,154 min,"Action, Drama",7.6,"A young man becomes a vigilante after his vigilante group's attempt to expose corrupt political figures results in the death of one of its members, his friend.",Vikramaditya Motwane,"Harshvardhan Kapoor,Priyanshu Painyuli,Ashish Verma,Shreiyah Sabharwal",919
BW_12,https://www.imdb.com/title/tt2797242/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bombay Talkies,2013,127 min,Drama,6.7,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,Zoya Akhtar,"Dibakar Banerjee,Karan Johar,Anurag Kashyap,Rani Mukerji",4231
BW_13,https://www.imdb.com/title/tt6484982/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Newton,2017,106 min,"Comedy, Drama",7.8,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Amit Masurkar,"Rajkummar Rao,Pankaj Tripathi,Anjali Patil,Raghuvir Yadav",9534
BW_14,https://www.imdb.com/title/tt1182937/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Rab Ne Bana Di Jodi,2008,167 min,"Comedy, Drama, Music",7.2,"A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",Aditya Chopra,"Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina",38358
BW_15,https://www.imdb.com/title/tt5785170/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Toilet - Ek Prem Katha,2017,155 min,"Comedy, Drama",7.3,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",Shree Narayan Singh,"Akshay Kumar,Bhumi Pednekar,Sudhir Pandey,Divyendu Sharma",12126
BW_16,https://www.imdb.com/title/tt1013542/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,The Cheetah Girls: One World,2008,90 min,"Comedy, Drama, Family",4.8,The girl group travel to India to star in a Bollywood movie - but end up competing for the same part.,Paul Hoen,"Adrienne Houghton,Sabrina Bryan,Kiely Williams,Roshan Seth",3385
BW_17,https://www.imdb.com/title/tt1562871/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Ra.One,2011,156 min,"Action, Adventure, Sci-Fi",4.8,A computer game character takes on physical form to destroy a player who nearly beat him but quit the game in between.,Anubhav Sinha,"Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami",34377
BW_18,https://www.imdb.com/title/tt1093370/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Jab We Met,2007,138 min,"Comedy, Drama, Romance",7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Imtiaz Ali,"Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh",39496
BW_19,https://www.imdb.com/title/tt0280720/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,The Guru,2002,94 min,"Comedy, Music, Romance",5.4,A young man leaves India to find fame and fortune in America where he unexpectedly becomes a sex guru.,Daisy von Scherler Mayer,"Jimi Mistry,Heather Graham,Marisa Tomei,Michael McKean",14169
BW_20,https://www.imdb.com/title/tt0347473/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Main Hoon Na,2004,179 min,"Action, Comedy, Drama",7,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,"Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan",27750
BW_21,https://www.imdb.com/title/tt0456144/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Lage Raho Munna Bhai,2006,144 min,"Comedy, Drama, Fantasy",8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,"Sanjay Dutt,Arshad Warsi,Vidya Balan,Jimmy Sheirgill",36017
BW_22,https://www.imdb.com/title/tt0114234/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Rangeela,1995,142 min,"Comedy, Drama, Musical",7.5,"A middle class young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.",Ram Gopal Varma,"Urmila Matondkar,Aamir Khan,Jackie Shroff,Gulshan Grover",7525
BW_23,https://www.imdb.com/title/tt0470869/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Neal 'N' Nikki,2005,122 min,"Comedy, Musical, Romance",3.3,Take a joyride with Neal and Nikki as they travel all across Canada to find what they want most. And it's going to be quite a trip.,Arjun Sablok,"Uday Chopra,Tanishaa Mukerji,Abhishek Bachchan,Richa Pallod",1300
BW_24,https://www.imdb.com/title/tt1182972/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bachna Ae Haseeno,2008,152 min,"Comedy, Drama, Romance",6.2,"Raj is a heartbreaker. His love stories with Mahi, Radhika and Gayatri finally teach him about love and life in their own sweet, sexy and sassy way.",Siddharth Anand,"Ranbir Kapoor,Deepika Padukone,Bipasha Basu,Minissha Lamba",8724
BW_25,https://www.imdb.com/title/tt2831404/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Dr. Cabbie,2014,101 min,Comedy,6.1,"An Indian doctor emigrates to Canada in the hope of starting a new life, but bureaucracy confines him to life as a taxi driver. When he cannot suppress his desire to practice medicine, he begins illegally treating patients from his cab.",Jean-François Pouliot,"Vinay Virmani,Adrianne Palicki,Kunal Nayyar,Lillete Dubey",2678
BW_26,https://www.imdb.com/title/tt1753640/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Crook: It's Good to Be Bad,2010,121 min,"Action, Crime, Drama",5.1,Corrupt police and racially motivated attacks against Indian students complicate a re-located crook's life and romance in Australia.,Mohit Suri,"Emraan Hashmi,Neha Sharma,Arjan Bajwa,Mashhoor Amrohi",1522
BW_27,https://www.imdb.com/title/tt0195002/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Kaun?,1999,90 min,"Mystery, Thriller",7.7,"While alone in the house, a woman hears news of serial killer on the loose. And then a stranger rings the doorbell...",Ram Gopal Varma,"Urmila Matondkar,Manoj Bajpayee,Sushant Singh",2715
BW_28,https://www.imdb.com/title/tt2417560/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Filmistaan,2012,117 min,Comedy,7.3,"In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown ...                 »",Nitin Kakkar,"Sharib Hashmi,Inaamulhaq,Kumud Mishra,Gopal Dutt",3008
BW_29,https://www.imdb.com/title/tt1602476/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Badmaa$h Company,2010,142 min,"Comedy, Crime, Drama",6,Four youngsters grow rich together with a big idea in 90's middle-class Bombay. All is hunky dory till they are forced to shut shop until a plan comes up.,Parmeet Sethi,"Shahid Kapoor,Anushka Sharma,Meiyang Chang,Vir Das",5324
BW_30,https://www.imdb.com/title/tt5912310/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Badman,2016,84 min,"Comedy, Drama",5.2,"A mad, comic caper where the legendary Bad Man of Bollywood, Gulshan Grover relaunches himself in the film industry, but this time as a hero! With celebrity cameos, hilarious delusional ...                 »",Soumik Sen,"Ajit Andhare,Mahesh Bhatt,Anupama Chopra,Gopal Dutt",15
BW_31,https://www.imdb.com/title/tt2188805/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Login,2012,125 min,"Drama, Thriller",6.2,This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.,Sanjeev Reddy,"Himanshu Bhatt,Raadhika Singh,Akkash Basnet,Rashmi Gautam",83
BW_32,https://www.imdb.com/title/tt5544662/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Sweetiee Weds NRI,2017,116 min,"Comedy, Drama, Romance",3.5,Sweetie's father wants her daughter to get married to an NRI from England.,Hasnain Hyderabadwala,"Himansh Kohli,Zoya Afroz,Darshan Jariwala,Kiran Juneja",170
BW_33,https://www.imdb.com/title/tt7399620/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Game Over,2017,140 min,Thriller,7.1,"GAME OVER - Story of a Con Girl - Bold and Beautiful, Smart and Intelligent; but that's not enough to play the Game of Life - Game of Gamble.",Paresh Vinodray Savani,"Rajesh Sharma,Yashpal Sharma,Rakesh Bedi,Gurleen Chopra",58
BW_34,https://www.imdb.com/title/tt1340778/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,I Am 24,2010,118 min,"Comedy, Romance",6.8,The perks of lying.,Saurabh Shukla,"Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Manjari Phadnis",1111
BW_35,https://www.imdb.com/title/tt0119239/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Gupt: The Hidden Truth,1997,173 min,"Action, Crime, Drama",7.4,"Governor Jaisingh Sinha is murdered and the needle of suspicion points towards his estranged son, Sahil Sinha who must prove his innocence.",Rajiv Rai,"Bobby Deol,Manisha Koirala,Kajol,Prem Chopra",3905
BW_36,https://www.imdb.com/title/tt0459133/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Shabnam Mausi,2005,,Drama,6.3,,Yogesh Bharadwaj,"Ashutosh Rana,Sujeet Chaubey,Rashami Desai,Jass Khera",44
BW_37,https://www.imdb.com/title/tt0297416/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Superman,1987,123 min,Sci-Fi,4.2,"A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his ...                 »",B. Gupta,"Puneet Issar,Sonia Sahni,Dharmendra,Shakti Kapoor",220
BW_38,https://www.imdb.com/title/tt4467202/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Hero,2015,145 min,"Action, Drama, Romance",3.7,"A boy and a girl find themselves stuck in a whirlpool of such intense love that they would do anything, go to any extent and face all odds for the one they love.",Nikkhil Advani,"Suraj Pancholi,Athiya Shetty,Tigmanshu Dhulia,Aditya Pancholi",1904
BW_39,https://www.imdb.com/title/tt1773109/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Yamla Pagla Deewana,2011,163 min,"Action, Comedy, Drama",5.7,A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.,Samir Karnik,"Nafisa Ali,Yugesh Anil,Madhuri Bhattacharya,Emma Brown Garett",3421
BW_40,https://www.imdb.com/title/tt0321494/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bollywood Queen,2002,89 min,"Musical, Romance",4.7,A cross cultural romance set in London's East End about a young girl of Indian heritage.,Jeremy Wooding,"Preeya Kalidas,James McAvoy,Ray Panthaki,Ciarán McMenamin",422
BW_41,https://www.imdb.com/title/tt1764581/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Save Your Legs!,2012,92 min,"Comedy, Sport",5.5,"Edward 'Teddy' Brown lives for his suburban cricket club and his two best friends, Rick and Stavros. But when he realizes that his beloved team mates are moving on and growing up, he's ...                 »",Boyd Hicklin,"Stephen Curry,Brendan Cowell,Damon Gameau,David Lyons",455
BW_42,https://www.imdb.com/title/tt1227524/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Aashayein,2010,120 min,Drama,7.1,A man meets with assorted characters in a nursing home after being diagnosed with cancer.,Nagesh Kukunoor,"John Abraham,Anaitha Nair,Girish Karnad,Farida Jalal",1050
BW_43,https://www.imdb.com/title/tt0069810/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bobby,1973,168 min,"Comedy, Musical, Romance",7.1,"Mr. Nath lives a very wealthy lifestyle in India along with his wife, Sushma, and a 6 year old son, Raj. Both he and Sushma lead a very busy life, so much so that they have no quality time ...                 »",Raj Kapoor,"Rishi Kapoor,Dimple Kapadia,Pran,Prem Nath",1370
BW_44,https://www.imdb.com/title/tt0397551/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,My Faraway Bride,2006,95 min,"Comedy, Drama, Romance",4.7,"My Bollywood Bride tells the story of Alex, a copy-writer dreaming of being an adventure novelist someday, who meets and romances Indian beauty Reena, while she is vacationing in California...                 »",Rajeev Virani,"Jason Lewis,Kashmira Shah,Gulshan Grover,Sanjay Suri",590
BW_45,https://www.imdb.com/title/tt5608972/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bir Baba Hindu,2016,112 min,"Action, Adventure, Comedy",3.4,"A disillusioned head of a mob falls in love with his yoga instructor. When she is kidnapped, he has to embark on journey from Istanbul to Mumbai to save her.",Sermiyan Midyat,"Sermiyan Midyat,Burak Satibol,Nicole Faria,Safak Sezer",1530
BW_46,https://www.imdb.com/title/tt7371104/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,GRADE,2017,64 min,Drama,6.2,Grade is first ever film made in India to address Films classification Subject. Grade is a story of girl Sapna and her struggle to get work and act in films. Film gives message- Films ...                 »,Anup Samaddar,"Mrinalini Chatterjee,Swati Ghosh,Mrinalini Chatterjee,Malay Ghosh",15
BW_47,https://www.imdb.com/title/tt5216810/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bollywood Diaries,2016,123 min,Drama,6,The passionate journey of three Bollywood fanatics who wish to make it big in the industry.,K.D. Satyam,"Raima Sen,Salim Diwan,Ashish Vidyarthi,Karuna Pandey",224
BW_48,https://www.imdb.com/title/tt4493550/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Flat 211,2017,,"Crime, Mystery, Thriller",7.1,An incident occurs at Flat 211 and the characters connected to this flat get involved in the incident leading to a mess. The mysterious identity of the person responsible for the incident grows leading to a dramatic turn of events.,Sunil Sanjan,"Jayesh Raj,Sonal Singh,Samonica Shrivastava,Digvijay Singh",35
BW_49,https://www.imdb.com/title/tt0106541/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMzk5YTA1OTEtM2Y0MC00ZDY5LWI4ODctMTBiYjViODBmNTM3XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR4,0,140,209_AL_.jpg",Chandra Mukhi,1993,,"Comedy, Fantasy, Romance",3.9,"In order to acquire his wealth and estate a young boy, Raja Rai is abused by his uncle, Madan and step-mother. Fortunately for him a female alien from another planet descended on Earth in ...                 »",Debaloy Dey,"Maya Alagh,Tinnu Anand,Mohnish Bahl,Avtar Gill",408
BW_50,https://www.imdb.com/title/tt1172587/?ref_=kw_li_i,"https://m.media-amazon.com/images/M/MV5BMjIyOTg2NzAwM15BMl5BanBnXkFtZTcwMTUxNjU0OA@@._V1_UY209_CR8,0,140,209_AL_.jpg",Delhi Safari,2012,96 min,"Animation, Comedy, Drama",5.7,A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,Nikkhil Advani,"Cary Elwes,Christopher Lloyd,Tara Strong,Brad Garrett",1411
BW_101,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Omar Gatlato,1977,90 min,"Comedy, Drama",6.6,A somewhat cynical but realistic look at the alienation of men in Algerian society.,Merzak Allouache,"Boualem Benani,Aziz Degga,Farida Guenaneche,Rabah Leghaa",105
BW_102,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Meinu Ek Ladki Chaahiye,2014,,"Comedy, Crime, Drama",3.5,The movie is a comical social satire portrays a 'Guru' and a 'Shishya' trying to change other's viewpoints and make them walk on the right path.,Abhishek Bindal,"Puru Chibber,Reecha Sinha,Rashee Bindal,Raghuvir Yadav",8
BW_103,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Raving Rabbids: Travel in Time,2010,,"Action, Adventure, Comedy",5.5,"This new party game will permit you and your ""rabbids"", to travel in time with a time washing machine. You'll have the possibility to change history and bring a mess every time, everywhere.",Cédric Royer,"Patrice Baudrier,Thierry Kazazian,Yoann Perrier,Véronique Picciotto",14
BW_104,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Holly - Bolly,2004,12 min,"Comedy, Short, Drama",6.9,Two young film makers are forced to go cross genre,Dishad Husain,"Robert Atiko,Mark Forbes,Honey Kalaria,Riz Meedin",25
BW_105,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,The Mole,2008,25 min,"Short, Comedy, Mystery",,"This independent short film is based on an actor who suffers from an identity crisis with his film noir private detective character, 'The Mole' (his character actually wears a facial mole).",Salil Jason Fernandez,"Neil Bhoopalam,Nikhil D'Souza,Steven Fernandez,Radhika Gulwadi",0
BW_106,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,The Voice of God,2011,10 min,Short,7.3,"If God came down to earth and try to earn a living in Bombay, most probably he would become successful as a voice over artiste, lending his voice to thousands of Hindi movies and even more documentaries and public service films in India.",Bernd Lützeler,Harish Bhimani,6
BW_107,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Missed Call,2005,105 min,"Comedy, Drama",8,Christine is stalked by an unknown caller whilst confronting her boyfriend about his cheating ways.,Vinay Subramanian,"Mridul Toolsidass,Ankur Vikal,Salim Ghouse,Heeba Shah",11
BW_108,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,That Game of Chess,2005,,Drama,7.8,"A cross cultural love story of an ambitious Indian guy, who comes to United States to achieve his dreams, but gets distracted during the course. Finally meets a girl of his dreams who brings him back to the path of success.",Raja Bundela,"John Bozeman,Jym Braun,Mary Christina Brown,Raja Bundela",22
BW_109,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Jhomma Chumma in London,1991,,,7.8,,Amitabh Bachchan,"Sonali Bajpayee,Sudesh Bhonsle,Aamir Khan",47
BW_110,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Chath: A Roof Without Walls,2007,93 min,"Drama, Thriller",,Inspired by true stories of homeless people in America. It delves into the dynamics of the relationships between 3 homeless Indians in USA.,Hyder Bilgrami,"Tirthankar Das,Sanjay Malhotra,Liyakat Khan,Charu Gupta",0
BW_111,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Everything to Dance For,2007,92 min,Drama,6.5,"Everything To Dance For is the story of Ellie (Sasha Jackson), a young girl following her dream of learning to dance, despite the misgivings of her mother (Sally Reeve), their lack of money...                 »",Pearl Howie,"Sasha Jackson,Travis Oliver,Sally Reeve,Brendan Cole",10
BW_112,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Motel Patel,2015,12 min,"Short, Drama, Family",,A kaleidoscope of Indian family characters who own a distressed motel in the United States.,Sanjini Bhakta,"Russ Andrade,Alex Bhagat,Sanjini Bhakta,Sudha Desai",0
BW_113,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Now and Then,2016,30 min,"Short, Drama, Family",,"Now and Then is a love story about Mallika, a South Asian woman who immigrated to the US at the age of 18. The film flash forwards thirty years, when someone from her past catches up to her...                 »",Mohitha Sripathi,"Nikki Chawla,Rome K. Chopra,Farokh Daruwala,Arun Ganapathy",0
BW_114,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Bollywood Blues,2008,50 min,Documentary,,"A story, told trough the passion for dance and music, about the choice between tradition and individual freedom for Hindustan who live in the Netherlands.",Rishi Chamman,"Johan Badloe,Monique Badloe,Nanti Badloe",0
BW_115,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Ghar Jaana Hai: The Stories Untold,2017,6 min,"Short, Music",,A couple take viewers through their emotional journey of love and separation in the backdrop of Drought and Migration.,Snehasis Das,"Gargi Mohanty,Raj Zutshi",0
BW_116,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Milind Soman Made Me Gay,2007,27 min,"Documentary, Short",6.7,A conceptual documentary about desire and notions of home & belonging among gay South Asian in diaspora.,Harjant Gill,"Daniel Phoenix Singh,Khusboo Dilruba,Harjant Gill,Ayush Gupta",11
BW_117,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,Larger Than Life,2003,78 min,Documentary,8.6,"Director Helle Ryslinge travels to the heart of Indian filmmaking, Bollywood, and meets the filmmakers, the stars and the audiences in an attempt to discover some of the reasons behind the success.",Helle Ryslinge,"Shah Rukh Khan,Manisha Koirala,Helle Ryslinge",878
BW_118,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,The Other Side of Bollywood,2006,80 min,Documentary,6.2,"A documentary about the making of films in different regions of India and the social forces, industry forces, and censor board that shape moviemaking there. Several actors, actresses, and ...                 »",Rahul Bose,"Pak Daddy,Vasundhara Das,Zayed Khan",6
