image,celeb,role,movie,description
"https://m.media-amazon.com/images/M/MV5BYWUxMzhlM2QtNDM5MS00OThlLTlhZDEtMDhlNTliZDIzZGQ1XkEyXkFqcGdeQXVyNzcyNzc0NzE@._V1_UY209_CR13,0,140,209_AL_.jpg",Anya Taylor-Joy,Actress,The VVitch: A New-England Folktale,"Anya Josephine Marie Taylor-Joy was born in Miami, Florida, the youngest of six children. Her mother is African-Spanish-English and her father is Scottish-Argentinian. She lived her whole life between Argentina and England. Her dad was an international banker but gave it all up to race motorboats. ..."
"https://m.media-amazon.com/images/M/MV5BMjEzMjA0ODk1OF5BMl5BanBnXkFtZTcwMTA4ODM3OQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",Elizabeth Olsen,Actress,Martha Marcy May Marlene,"Elizabeth Chase ""Lizzie"" Olsen (born February 16, 1989) is an American actress. She is known for her roles in the films,  (2011),  (2012),  (2014),  (2015) and  (2016). For her role in the critically-acclaimed ..."
"https://m.media-amazon.com/images/M/MV5BMTUxNDY4MTMzM15BMl5BanBnXkFtZTcwMjg5NzM2Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",Emily Blunt,Actress,Edge of Tomorrow,"Emily Olivia Leah Blunt is a British actress known for her roles in  (2006),  (2009),  (2014), and  (2016), among many others.Blunt was born on February 23, 1983, in Roehampton, South West London, England, the second of ..."
"https://m.media-amazon.com/images/M/MV5BMTk1ODEzMTAyNF5BMl5BanBnXkFtZTgwNDExMTY5MTI@._V1_UY209_CR69,0,140,209_AL_.jpg",Carrie Coon,Actress,Gone Girl,"Originally from Copley, OH, Carrie Coon is a Chicago-based theatre, television and film actress. She received a BA in English and Spanish from the University of Mount Union, followed by her MFA in Acting at the University of Wisconsin, Madison. Coon was nominated for a Tony Award in the Best ..."
"https://m.media-amazon.com/images/M/MV5BMTUzNTA1Mzg5M15BMl5BanBnXkFtZTYwNjkzNDk3._V1_UX140_CR0,0,140,209_AL_.jpg",Cybill Shepherd,Actress,Cybill,"Cybill Lynne Shepherd was born in Memphis, Tennessee, to Patty, a homemaker, and William Shepherd, a small business owner. Named after her grandfather, Cy, and her father, Bill, Shepherd's career began at a young age in modeling, when she won the ""Miss Teenage Memphis"" contest in 1966 and the ""..."
"https://m.media-amazon.com/images/M/MV5BMTEyMzc2MTE2MzheQTJeQWpwZ15BbWU4MDUwNTY0ODYx._V1_UX140_CR0,0,140,209_AL_.jpg",Natasha Lyonne,Actress,Orange Is the New Black,"Natasha Lyonne is an American stage, film, and television actress.As a young child, she was signed by the Ford Modeling Agency and, at the age of six, was cast as a role in Pee-Wee's Playhouse. Natasha remained busy with appearances in almost 30 films over the next 10 years, including some starring..."
"https://m.media-amazon.com/images/M/MV5BMjA5Njg3NDkxNV5BMl5BanBnXkFtZTgwNDczMTgyODE@._V1_UY209_CR8,0,140,209_AL_.jpg",Christina Hendricks,Actress,Ginger & Rosa,"Christina Rene Hendricks was born in Knoxville, Tennessee, and grew up in Twin Falls, Idaho. Her father, Robert, originally from England, worked for the U.S. Forest Service, while her mother, Jackie Sue (Raymond), was a psychologist. At the age of 13 her father transferred to the Forest Service ..."
"https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Robert Downey Jr.,Actor,Iron Man,"Robert Downey Jr. has evolved into one of the most respected actors in Hollywood. With an amazing list of credits to his name, he has managed to stay new and fresh even after over four decades in the business.Downey was born April 4, 1965 in Manhattan, New York, the son of writer, director and ..."
"https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY209_CR16,0,140,209_AL_.jpg",Scarlett Johansson,Actress,Her,"Scarlett Johansson was born in New York City. Her mother, , is from a Jewish family from the Bronx, and her father, , is a Danish-born architect, from Copenhagen. She has a sister, , who is also an actress, a brother, Adrian, a twin brother, ..."
"https://m.media-amazon.com/images/M/MV5BMTUwNzAyMzA2MF5BMl5BanBnXkFtZTgwNzA0MjQ1ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",Sam Heughan,Actor,Outlander,"Sam Roland Heughan was born April 30, 1980 in Balmaclellan, Dumfries and Galloway, Scotland. An accomplished stage and screen actor best known for his leading roles in Starz TV Series Outlander (2014-2018), A Princess for Christmas (2011), and A Very British Sex Scandal (2007). He attended the ..."
"https://m.media-amazon.com/images/M/MV5BMTIwNDQ4NDgxNF5BMl5BanBnXkFtZTcwMzQ3MDA2MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Alexis Arquette,Actress,Pulp Fiction,"Alexis Arquette was born on July 28, 1969 in Los Angeles, California, USA as Robert Arquette. She is known for her work on  (1994),  (1998) and  (1999). She died on September 11, 2016 in Los Angeles."
"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg",Priyanka Chopra,Actress,Baywatch,"Priyanka Chopra was born 18 July, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; a short stay at Maria ..."
"https://m.media-amazon.com/images/M/MV5BODc5MjQxNDEwNl5BMl5BanBnXkFtZTgwNjcxODQ3OTE@._V1_UY209_CR11,0,140,209_AL_.jpg",Josh Dylan,Actor,Allied,"Josh Dylan is an actor, known for  (2016),  (2018) and  (2018)."
"https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Brad Pitt,Actor,Mr. & Mrs. Smith,"An actor and producer known as much for his versatility as he is for his handsome face, Golden Globe-winner Brad Pitt's most widely recognized role may be Tyler Durden in  (1999). However, his portrayals of Billy Beane in  (2011), and Rusty Ryan in the remake of  (..."
"https://m.media-amazon.com/images/M/MV5BMjE4NTk0Mzg0MF5BMl5BanBnXkFtZTYwMzU5NjM0._V1_UY209_CR3,0,140,209_AL_.jpg",Linda Hamilton,Actress,Terminator 2: Judgment Day,"Born in Salisbury, Maryland, USA, following high school Linda studied for two years at Washington College in Chestertown, Maryland, before moving on to acting studies in New York. In New York she attended acting workshops given by . Her first parts were small parts in TV series, with ..."
"https://m.media-amazon.com/images/M/MV5BMTc2Mjc1MDE4MV5BMl5BanBnXkFtZTcwNzAyNDczNA@@._V1_UY209_CR6,0,140,209_AL_.jpg",Demi Moore,Actress,G.I. Jane,"Demi Moore was born 1962 in Roswell, New Mexico. Her father Charles Harmon left her mother Virginia King before Demi was born. Her stepfather Danny Guynes didn't add much stability to her life either. He frequently changed jobs and made the family move a total of 40 times. The parents kept on ..."
"https://m.media-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Kate Winslet,Actress,Titanic,"Ask Kate Winslet what she likes about any of her characters, and the word ""ballsy"" is bound to pop up at least once. The British actress has made a point of eschewing straightforward pretty-girl parts in favor of more devilish damsels; as a result, she's built an eclectic resume that runs the gamut..."
"https://m.media-amazon.com/images/M/MV5BN2RmMmI0ZTctZTcxMC00MWNmLWI5MDUtMDkyMDQxOWU3MzFhXkEyXkFqcGdeQXVyNDA2NzE4Mjk@._V1_UX140_CR0,0,140,209_AL_.jpg",Jeremy Irvine,Actor,War Horse,"Jeremy Irvine is an English stage and screen actor. He was born Jeremy William Fredric Smith in Gamlingay, Cambridgeshire, England, to Bridget (Glockling), a local politician, and Christopher Fredric Smith, an engineer. His stage surname, ""Irvine"", was his grandfather's first name. He attended one ..."
"https://m.media-amazon.com/images/M/MV5BMTkzNjE5MzY5M15BMl5BanBnXkFtZTgwMDI5ODMxODE@._V1_UY209_CR80,0,140,209_AL_.jpg",Pom Klementieff,Actress,Guardians of the Galaxy Vol. 2,"Pom Klementieff was born on May 3, 1986 in Quebec City, Quebec, Canada. She is an actress, known for  (2017),  (2013) and  (2018)."
"https://m.media-amazon.com/images/M/MV5BNDQ5MDIyMjg3NV5BMl5BanBnXkFtZTgwOTU2NTE0NDM@._V1_UX140_CR0,0,140,209_AL_.jpg",Rosamund Pike,Actress,Gone Girl,"Born on January 27, 1979 in London, England, actress Rosamund Mary Elizabeth Pike is the only child of a classical violinist mother, Caroline (Friend), and an opera singer father, Julian Pike. Due to her parents' work, she spent her early childhood traveling around Europe. Pike attended Badminton ..."
"https://m.media-amazon.com/images/M/MV5BNzMwODE1NjA3OV5BMl5BanBnXkFtZTgwNTY5MzM2OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Simon Pegg,Actor,Shaun of the Dead,"English actor, writer and comedian Simon Pegg was born Simon John Beckingham in Brockworth, Gloucestershire, to Gillian Rosemary (Smith), a civil servant, and John Henry Beckingham, a jazz musician. His parents divorced when Pegg was seven. He later took his stepfather's surname, ""Pegg"". He was ..."
"https://m.media-amazon.com/images/M/MV5BMjA4NDk1NTA1OV5BMl5BanBnXkFtZTcwMTIzMjQ4Ng@@._V1_UY209_CR6,0,140,209_AL_.jpg",Zoe Saldana,Actress,Avatar,"Zoe Saldana was born on June 19, 1978 in Passaic, New Jersey, to Asalia Nazario and Aridio Saldaña. Her father was Dominican and her mother is Puerto Rican. She was raised in Queens, New York. When she was 10 years old, she and her family moved to the Dominican Republic, where they would live for ..."
"https://m.media-amazon.com/images/M/MV5BNjgzMzk2MjEzM15BMl5BanBnXkFtZTgwMTkzMDEwMTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Kelly Reilly,Actress,Flight,"Jessica Kelly Siobhán Reilly (born 18 July 1977) is an English actress. Her performance in After Miss Julie at the Donmar Warehouse made her a star of the London stage and earned her a nomination for a Laurence Olivier Award for Best Actress of 2003. Reilly was born and brought up in Chessington, ..."
"https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Quentin Tarantino,Writer,Reservoir Dogs,"Quentin Jerome Tarantino was born in Knoxville, Tennessee. His father, , is an Italian-American actor and musician from New York, and his mother, Connie (McHugh), is a nurse from Tennessee. Quentin moved with his mother to Torrance, California, when he was four years old.In January of..."
"https://m.media-amazon.com/images/M/MV5BNTMwMDg1MDkyNV5BMl5BanBnXkFtZTcwNzEwMzg1Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg",Elisabeth Moss,Actress,The One I Love,"Elisabeth Moss is an American actress. She is best known for the AMC series Mad Men (2007-2015), Hulu series  (2017) and the film The One I Love (2014).Initially, Moss had aspirations of becoming a professional dancer. In her adolescence, she traveled to New York City to study ..."
"https://m.media-amazon.com/images/M/MV5BOTczNTgzODYyMF5BMl5BanBnXkFtZTcwNjk4ODk4Mw@@._V1_UY209_CR8,0,140,209_AL_.jpg",Jennifer Connelly,Actress,A Beautiful Mind,"Jennifer Connelly was born in the Catskill Mountains, New York, to Ilene (Schuman), a dealer of antiques, and Gerard Connelly, a clothing manufacturer. Her father had Irish and Norwegian ancestry, and her mother was from a Jewish immigrant family. Jennifer grew up in Brooklyn Heights, just across ..."
"https://m.media-amazon.com/images/M/MV5BNTAzMzA3NjQwOF5BMl5BanBnXkFtZTgwMDUzODQ5MTI@._V1_UY209_CR16,0,140,209_AL_.jpg",Tom Holland,Actor,Spider-Man: Homecoming,"Thomas Stanley Holland was born in Kingston-upon-Thames, Surrey, to Nicola Elizabeth (Frost), a photographer, and  (Dominic Anthony Holland), who is a comedian and author. His paternal grandparents were from the Isle of Man and Ireland, respectively. He lives with his parents and ..."
"https://m.media-amazon.com/images/M/MV5BOTI3ODk1MTMyNV5BMl5BanBnXkFtZTcwNDEyNTE2Mg@@._V1_UY209_CR5,0,140,209_AL_.jpg",Ryan Reynolds,Actor,Deadpool,"Ryan Rodney Reynolds was born on October 23, 1976 in Vancouver, British Columbia, Canada, the youngest of four children. His father, James Chester Reynolds, was a food wholesaler, and his mother, Tammy, worked as a retail-store saleswoman. Between 1991-93, Ryan appeared in  (1990), a ..."
"https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_UY209_CR13,0,140,209_AL_.jpg",Arnold Schwarzenegger,Actor,Terminator 2: Judgment Day,"With an almost unpronounceable surname and a thick Austrian accent, who would have ever believed that a brash, quick talking bodybuilder from a small European village would become one of Hollywood's biggest stars, marry into the prestigious Kennedy family, amass a fortune via shrewd investments and..."
"https://m.media-amazon.com/images/M/MV5BMTM3MzY2MDYwOF5BMl5BanBnXkFtZTcwODQ3MDA0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Kate Beckinsale,Actress,Underworld: Evolution,"Kate Beckinsale was born on 26 July 1973 in England, and has resided in London for most of her life. Her mother is , who has appeared in a number of British dramas and sitcoms and continues to work as an actress, predominantly in British television productions. Her father was ..."
"https://m.media-amazon.com/images/M/MV5BMjE5NDU2Mzc3MV5BMl5BanBnXkFtZTcwNjAwNTE5OQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",Denzel Washington,Actor,Fences,"Denzel Hayes Washington, Jr. was born on December 28, 1954 in Mount Vernon, New York. He is the middle of three children of a beautician mother, Lennis, from Georgia, and a Pentecostal minister father, Denzel Washington, Sr., from Virginia. After graduating from high school, Denzel enrolled at ..."
"https://m.media-amazon.com/images/M/MV5BMTk5MDY2NzMwMl5BMl5BanBnXkFtZTcwNzIxNTUxNw@@._V1_UY209_CR7,0,140,209_AL_.jpg",Jessica Biel,Actress,The Illusionist,"Jessica Biel, with her good looks and talent, has become one of Hollywood's most sought-out actresses. She was born in Ely, Minnesota, to Kimberly (Conroe) and Jonathan Edward Biel, who is a business consultant and GM worker. Biel was raised in Boulder, Colorado. She is of Hungarian Jewish, Danish,..."
"https://m.media-amazon.com/images/M/MV5BMjQ0NzI0ODM2MV5BMl5BanBnXkFtZTgwMjc3Njg4NTM@._V1_UY209_CR2,0,140,209_AL_.jpg",Kevin Smith,Producer,Clerks,"Kevin Patrick Smith was born in Red Bank but grew up in Highlands, New Jersey, the son of Grace (Schultz) and , a postal worker. He is very proud of his native state; this fact can be seen in all of his movies. Kevin is of mostly German, with some Irish and English, ancestry.His ..."
"https://m.media-amazon.com/images/M/MV5BMTQzNzIxOTYzMl5BMl5BanBnXkFtZTcwNjYxNTk1Nw@@._V1_UY209_CR10,0,140,209_AL_.jpg",James McAvoy,Actor,Atonement,"McAvoy was born on 21 April 1979 in Glasgow, Scotland, to Elizabeth (née Johnstone), a nurse, and James McAvoy senior, a bus driver. He was raised on a housing estate in Drumchapel, Glasgow by his maternal grandparents (James, a butcher, and Mary), after his parents divorced when James was 7. He ..."
"https://m.media-amazon.com/images/M/MV5BMTQwMzQyMzkwOF5BMl5BanBnXkFtZTcwMzY2ODMzMg@@._V1_UY209_CR4,0,140,209_AL_.jpg",Elizabeth Berkley,Actress,Showgirls,"Elizabeth Berkley was born in Farmington Hills, Michigan. Her mother, Jere, owns a gift basket business and her father, Fred, is a lawyer. Her family is Jewish. When Elizabeth was five her parents enrolled her at Detroit Dance Company. Loving dance, young Elizabeth began to take part in several ..."
"https://m.media-amazon.com/images/M/MV5BMTM0ODU5Nzk2OV5BMl5BanBnXkFtZTcwMzI2ODgyNQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Johnny Depp,Actor,Pirates of the Caribbean: The Curse of the Black Pearl,"Johnny Depp is perhaps one of the most versatile actors of his day and age in Hollywood.He was born John Christopher Depp II in Owensboro, Kentucky, on June 9, 1963, to Betty Sue (Wells), who worked as a waitress, and John Christopher Depp, a civil engineer.Depp was raised in Florida. He dropped ..."
"https://m.media-amazon.com/images/M/MV5BMjM3MTczNzY1MF5BMl5BanBnXkFtZTgwNjgwODgzNDE@._V1_UY209_CR4,0,140,209_AL_.jpg",Léa Seydoux,Actress,La vie d'Adèle,"French actress Léa Seydoux was born in 1985 in Paris, France, to , a philanthropist, and , a businessman. Her grandfather, , is chairman of Pathé, and her father is a great-grandson of businessman and inventor Marcel Schlumberger (her mother also ..."
"https://m.media-amazon.com/images/M/MV5BMTQ2MDM4MTM2NF5BMl5BanBnXkFtZTgwMTM4MjYyMDE@._V1_UY209_CR5,0,140,209_AL_.jpg",Linda Cardellini,Actress,Brokeback Mountain,"Linda Edna Cardellini was born in Redwood City, California, to Lorraine (Hernan) and Wayne David Cardellini, a businessman. She is of Italian (from her paternal grandfather), Irish (from her mother), German, English, and Scottish descent. Linda grew up in the San Francisco Bay area, California, the..."
